Num_units,Intercept,Influence_level,Model,Replication,Measurement,Loss,R2,Imp_F,Imp_Z1,Imp_Z2
0,0,0,MLR,1,X,0.002084791,0.997819482,1.5903970486068544,0.4597905806263163,7.594738382188382e-07
0,0,0,MLR,1,W1,0.149742287,0.843382016,1.2574616343957052,0.48529807076312326,0.0003561239747782552
0,0,0,MLR,1,W2,0.316232101,0.669247511,0.9694468286317651,0.4251397056613732,0.00045889854729627146
0,0,0,SVR,1,X,0.004797349,0.994982372,1.5696567542262776,0.45849811751398173,0.0015742379202559388
0,0,0,SVR,1,W1,0.149572846,0.843559237,1.267903210247519,0.48853374909069097,0.0006375582330782837
0,0,0,SVR,1,W2,0.315049453,0.670484462,0.9536102007697138,0.41606991207944716,0.0004877476202225672
0,0,0,RF-R,1,X,0.020740392,0.978307274,1.4403129274124336,0.4200176049343437,0.001511823933953993
0,0,0,RF-R,1,W1,0.176239104,0.815668548,1.1414404347920533,0.4396888959400134,0.0018912835255159189
0,0,0,RF-R,1,W2,0.332112728,0.652637695,0.8615180626207708,0.3764176325642647,-0.001056364097407969
0,0,0,XGBoost-R,1,X,0.004910439,0.990511715,1.5712541829552213,0.44734997390007036,-0.00048683189319045363
0,0,0,XGBoost-R,1,W1,0.156515578,0.780374245,1.2178861873935063,0.47950978081616646,-0.004143372147034618
0,0,0,XGBoost-R,1,W2,0.316264903,0.60582666,0.9541443263619621,0.4441912867079984,0.014456671960795208
0,0,0,MLP-R,1,X,0.002078631,0.997825925,1.591642363068638,0.46077534637204354,5.864445359993198e-07
0,0,0,MLP-R,1,W1,0.149713346,0.843412286,1.258209292007987,0.48589770635895213,0.00040621131149908284
0,0,0,MLP-R,1,W2,0.316103301,0.669382225,0.9710360857375008,0.4210361869791194,0.0004012747980292608
0,0,0,MLR,2,X,0.001654039,0.998423137,1.5580428911239337,0.3346487481813879,4.2164962954505114e-07
0,0,0,MLR,2,W1,0.167135321,0.840663032,1.2116308610967284,0.33562173013490837,-0.00015739352420792718
0,0,0,MLR,2,W2,0.295823575,0.717979232,1.0082681383898964,0.367003787805221,0.0
0,0,0,SVR,2,X,0.001653408,0.998423738,1.558792014229166,0.33444050476606013,8.456091386888076e-07
0,0,0,SVR,2,W1,0.166748518,0.841031787,1.230375796674191,0.34156279381354065,-0.00020246111186431604
0,0,0,SVR,2,W2,0.29583116,0.717972001,0.9967407578909763,0.36962534723861573,-0.00010692285209294994
0,0,0,RF-R,2,X,0.028154182,0.973159462,1.3917646095228462,0.3044771896352903,0.0017054359160811772
0,0,0,RF-R,2,W1,0.201960862,0.807462413,1.0682071502886556,0.31425268033216847,0.006257227751382688
0,0,0,RF-R,2,W2,0.325166792,0.690005138,0.8948964969698668,0.34360219020161653,0.004576490923051457
0,0,0,XGBoost-R,2,X,0.00359374,0.993253796,1.5496267378528978,0.32727139588922194,-0.0002471581021248337
0,0,0,XGBoost-R,2,W1,0.176577626,0.792634953,1.1837726164153684,0.3487038820086922,0.004416759024305395
0,0,0,XGBoost-R,2,W2,0.303574198,0.628649115,1.007954127780657,0.3400313761696557,0.011141152669088605
0,0,0,MLP-R,2,X,0.001656309,0.998420972,1.5581805482645537,0.33459443604073474,4.215037271770861e-07
0,0,0,MLP-R,2,W1,0.165941767,0.841800896,1.2067272262786002,0.3352785349301449,-7.956381363649623e-06
0,0,0,MLP-R,2,W2,0.296526857,0.717308764,1.0094897319442167,0.3664980178083092,-0.0005992807987393656
0,0,0,MLR,3,X,0.00196664,0.998190154,1.66734501146689,0.3860287999331413,0.0
0,0,0,MLR,3,W1,0.169329209,0.844170875,1.2999771115156062,0.35159743854355036,0.00026205861858640266
0,0,0,MLR,3,W2,0.307807043,0.716733443,1.0356170941905667,0.36402063743885743,0.0007726083425240282
0,0,0,SVR,3,X,0.003084394,0.997161515,1.6535043384902086,0.3841090674952822,0.0003590599739506484
0,0,0,SVR,3,W1,0.168377025,0.845047145,1.3016374513587334,0.33515427989811053,6.914755754763302e-05
0,0,0,SVR,3,W2,0.306220887,0.71819314,1.0561128098455286,0.3508285589338594,0.000935689038771903
0,0,0,RF-R,3,X,0.025853444,0.97620777,1.5051043948819125,0.33965581160212677,0.001042770228197043
0,0,0,RF-R,3,W1,0.201351032,0.814702052,1.1844610549587395,0.311620540073987,0.0029681629127863095
0,0,0,RF-R,3,W2,0.346140784,0.681455931,0.9311802592393486,0.35168394361333416,0.0031327729800642913
0,0,0,XGBoost-R,3,X,0.005168111,0.993374738,1.6471298373976997,0.37794193731583875,0.00021798600973775838
0,0,0,XGBoost-R,3,W1,0.184155225,0.794023699,1.2905941445527729,0.33553192274152,0.0026003446567538723
0,0,0,XGBoost-R,3,W2,0.322060885,0.615466722,0.9957055464179796,0.36256287797222864,-0.0037576298741215375
0,0,0,MLP-R,3,X,0.001969656,0.998187378,1.667953245901041,0.3859768260076003,3.1264444508849467e-07
0,0,0,MLP-R,3,W1,0.169194182,0.844295137,1.3114120347922242,0.3541576506019143,0.0003786173625871636
0,0,0,MLP-R,3,W2,0.307503839,0.717012474,1.042559891496798,0.36565689513363,0.0006600672071562008
0,0,0,MLR,4,X,0.001662658,0.998450602,1.6604800625740779,0.3534833895017387,-1.3325236352113025e-07
0,0,0,MLR,4,W1,0.146995985,0.863017394,1.4034058907084241,0.36088472793441995,0.0
