Num_units,Intercept,Influence_level,Model,Replication,Measurement,Loss,Accuracy,F1_score,Imp_F,Imp_Z1,Imp_Z2
0,0,0,LogReg,5,W1,0.2625,0.7375,0.749403341,0.18250000000000005,0.048250000000000036,0.00025000000000001686
0,0,0,LogReg,5,W2,0.2675,0.7325,0.743405276,0.1605,0.05650000000000005,-0.002499999999999958
0,0,0,SVC,5,X,0.245,0.75,0.754901961,0.20049999999999998,0.03925000000000002,-0.007499999999999984
0,0,0,SVC,5,W1,0.255,0.73,0.746478873,0.17825,0.04649999999999997,-0.014250000000000018
0,0,0,SVC,5,W2,0.26,0.7275,0.742316785,0.16025000000000006,0.05925000000000004,-0.013749999999999984
0,0,0,RF-C,5,X,0.2225,0.7775,0.77581864,0.23825,0.04399999999999996,0.003749999999999987
0,0,0,RF-C,5,W1,0.23,0.77,0.774509804,0.22349999999999998,0.07225000000000004,0.011250000000000048
0,0,0,RF-C,5,W2,0.2525,0.7475,0.756626506,0.18025000000000005,0.06700000000000005,0.012250000000000039
0,0,0,XGBoost-C,5,X,0.225,0.735,0.741463415,0.19224999999999998,0.04249999999999998,-0.009000000000000008
0,0,0,XGBoost-C,5,W1,0.2425,0.7275,0.739856802,0.17950000000000005,0.058250000000000045,0.007000000000000039
0,0,0,XGBoost-C,5,W2,0.245,0.715,0.731132075,0.15274999999999997,0.08574999999999998,0.015749999999999976
0,0,0,MLP-C,5,X,0.2325,0.7675,0.766917293,0.22349999999999995,0.04399999999999995,0.0012499999999999734
0,0,0,MLP-C,5,W1,0.2575,0.7425,0.756501182,0.18975000000000003,0.05175000000000002,0.005500000000000038
0,0,0,MLP-C,5,W2,0.2525,0.7475,0.764568765,0.18000000000000008,0.07450000000000005,-0.0004999999999999672
0,0,0,LogReg,6,X,0.205,0.795,0.801932367,0.24325000000000002,0.08275000000000006,-0.0009999999999999788
0,0,0,LogReg,6,W1,0.205,0.795,0.798029557,0.23225,0.09900000000000005,0.0015000000000000458
0,0,0,LogReg,6,W2,0.2725,0.7275,0.730864198,0.17200000000000001,0.07550000000000003,-0.003499999999999981
0,0,0,SVC,6,X,0.18,0.81,0.815533981,0.26275000000000004,0.09825000000000006,0.01000000000000002
0,0,0,SVC,6,W1,0.2025,0.7875,0.786967419,0.22799999999999998,0.09324999999999999,-0.0002500000000000391
0,0,0,SVC,6,W2,0.265,0.73,0.73,0.18,0.07924999999999999,0.0047499999999999765
0,0,0,RF-C,6,X,0.1825,0.8175,0.824096386,0.264,0.10425,0.020999999999999998
0,0,0,RF-C,6,W1,0.195,0.805,0.798969072,0.24975000000000006,0.10150000000000006,0.019750000000000056
0,0,0,RF-C,6,W2,0.265,0.735,0.740196078,0.18225000000000002,0.0865,0.012249999999999983
0,0,0,XGBoost-C,6,X,0.1775,0.7825,0.785185185,0.22399999999999992,0.09174999999999997,0.011499999999999977
0,0,0,XGBoost-C,6,W1,0.1825,0.805,0.805,0.23350000000000004,0.12300000000000004,0.04100000000000006
0,0,0,XGBoost-C,6,W2,0.2575,0.69,0.688442211,0.12874999999999998,0.06324999999999995,0.01524999999999993
0,0,0,MLP-C,6,X,0.1875,0.8125,0.818401937,0.265,0.09724999999999999,0.013749999999999974
0,0,0,MLP-C,6,W1,0.2025,0.7975,0.8,0.23399999999999999,0.10175000000000001,0.003499999999999981
0,0,0,MLP-C,6,W2,0.2725,0.7275,0.730864198,0.17125000000000004,0.07675000000000001,-0.0037499999999999756
0,0,0,LogReg,7,X,0.19,0.81,0.812807882,0.28400000000000014,0.06725000000000005,-0.0027499999999999526
0,0,0,LogReg,7,W1,0.2325,0.7675,0.774818402,0.23099999999999996,0.06099999999999996,0.0022499999999999742
