Num_units,Intercept,Influence_level,Model,Replication,Measurement,Loss,R2,Imp_F,Imp_Z1,Imp_Z2
0,0,0,MLP-R,7,W2,0.409594913,0.583130892,0.17381188159978517,1.0246887711976835,-0.0004895436818341925
0,0,0,MLR,8,X,0.004438518,0.995519856,1.0163657051071486,0.954382199193694,0.0
0,0,0,MLR,8,W1,0.220217378,0.777717344,0.606574011773021,1.0074094089148717,0.0
0,0,0,MLR,8,W2,0.42450147,0.5715174,0.16465187901597383,0.9631489528559568,0.0
0,0,0,SVR,8,X,0.004447112,0.995511182,1.018675974977072,0.954063677968751,-7.830240543205136e-06
0,0,0,SVR,8,W1,0.219714215,0.778225225,0.5788752162384219,1.0089565387500394,-0.00017180432878382
0,0,0,SVR,8,W2,0.424106004,0.571916576,0.17594065634087266,0.9611650908169469,0.00027044606758733767
0,0,0,RF-R,8,X,0.008787338,0.991130251,1.007340028389227,0.9192082252275876,-0.0001561645475593787
0,0,0,RF-R,8,W1,0.237149662,0.760626262,0.5647119714014762,0.9389774082552942,0.004250923461211887
0,0,0,RF-R,8,W2,0.437361959,0.558536301,0.14642739503812746,0.9114114446696895,0.009864216878322096
0,0,0,XGBoost-R,8,X,0.005362422,0.992916949,1.016323002591038,0.9500349432305036,5.0293729503170234e-05
0,0,0,XGBoost-R,8,W1,0.228274274,0.734740529,0.5839166973425403,1.062315646826389,0.030123707214919537
0,0,0,XGBoost-R,8,W2,0.421651549,0.48331574,0.14008070331355593,1.0041865012363735,0.051633245519595285
0,0,0,MLP-R,8,X,0.004443864,0.99551446,1.0166942987355565,0.9557039171814976,-5.1505534704121555e-06
0,0,0,MLP-R,8,W1,0.220753958,0.777175731,0.6069529775460032,1.011663435595075,-0.00033393995277697375
0,0,0,MLP-R,8,W2,0.424668879,0.571348422,0.1651559780957756,0.9580222896550741,0.00029783292626167635
0,0,0,MLR,9,X,0.005019867,0.994905697,1.0425878395876875,0.9887813821121927,7.725759214605166e-06
0,0,0,MLR,9,W1,0.197827453,0.799239093,0.6718874673975115,1.0408730567194113,0.0
0,0,0,MLR,9,W2,0.396875098,0.5972399,0.22071318814527352,0.9711381522318936,0.0
