Num_units,Intercept,Influence_level,Model,Replication,Measurement,Loss,Accuracy,F1_score,Imp_F,Imp_Z1,Imp_Z2
0,0,0,LogReg,1,X,0.255,0.745,0.822916667,0.09899999999999999,0.0975,0.004749999999999988
0,0,0,LogReg,1,W1,0.275,0.725,0.816053512,0.06724999999999996,0.07424999999999995,0.0019999999999999684
0,0,0,LogReg,1,W2,0.3,0.7,0.814814815,0.005249999999999977,0.04024999999999995,0.003249999999999964
0,0,0,SVC,1,X,0.26,0.735,0.819112628,0.09075000000000001,0.08174999999999998,-0.001000000000000023
0,0,0,SVC,1,W1,0.2725,0.7225,0.814070352,0.07200000000000005,0.07025000000000002,-0.00024999999999997247
0,0,0,SVC,1,W2,0.3025,0.6925,0.808112324,0.0005000000000000004,0.03550000000000001,-0.0002499999999999836
0,0,0,RF-C,1,X,0.2525,0.7475,0.826758148,0.09725000000000006,0.09625000000000004,0.02350000000000004
0,0,0,RF-C,1,W1,0.2525,0.7475,0.830252101,0.07275000000000004,0.08975000000000005,0.03150000000000006
0,0,0,RF-C,1,W2,0.285,0.715,0.819620253,0.016749999999999966,0.07149999999999995,0.02849999999999998
0,0,0,XGBoost-C,1,X,0.2625,0.7175,0.806174957,0.08025000000000003,0.07475000000000002,-0.0027499999999999747
0,0,0,XGBoost-C,1,W1,0.25,0.725,0.812286689,0.06649999999999998,0.06674999999999998,0.022749999999999982
0,0,0,XGBoost-C,1,W2,0.2925,0.6725,0.78130217,0.0022499999999999742,0.053249999999999985,0.010999999999999977
0,0,0,MLP-C,1,X,0.255,0.745,0.821678322,0.09975,0.093,-0.003500000000000003
0,0,0,MLP-C,1,W1,0.265,0.735,0.814035088,0.087,0.08650000000000001,0.005499999999999982
0,0,0,MLP-C,1,W2,0.2975,0.7025,0.8096,0.019000000000000006,0.0615,0.016749999999999998
0,0,0,LogReg,2,X,0.295,0.705,0.792253521,0.07899999999999995,0.04024999999999994,-0.0005000000000000337
0,0,0,LogReg,2,W1,0.3,0.7,0.800664452,0.027749999999999962,0.047249999999999945,0.005249999999999988
0,0,0,LogReg,2,W2,0.2975,0.7025,0.808988764,0.020999999999999984,0.06250000000000001,0.0005000000000000337
0,0,0,SVC,2,X,0.2875,0.7025,0.79447323,0.07475000000000004,0.027250000000000007,-0.0049999999999999715
0,0,0,SVC,2,W1,0.3025,0.67,0.771626298,0.036250000000000046,0.020250000000000046,-0.010249999999999948
0,0,0,SVC,2,W2,0.3,0.6925,0.80445151,0.021499999999999984,0.041500000000000016,-0.003999999999999992
0,0,0,RF-C,2,X,0.29,0.71,0.806666667,0.06924999999999998,0.02999999999999996,0.0017499999999999738
0,0,0,RF-C,2,W1,0.31,0.69,0.795379538,0.028749999999999953,0.025999999999999947,-0.00275000000000003
0,0,0,RF-C,2,W2,0.2925,0.7075,0.804674457,0.036250000000000004,0.06325000000000001,0.008750000000000036
0,0,0,XGBoost-C,2,X,0.2925,0.67,0.76344086,0.054250000000000034,0.02050000000000004,-0.020999999999999953
0,0,0,XGBoost-C,2,W1,0.3075,0.645,0.74822695,0.02200000000000002,0.025000000000000012,-0.008999999999999963
0,0,0,XGBoost-C,2,W2,0.285,0.65,0.760273973,0.021750000000000026,0.040249999999999994,-0.002249999999999963
0,0,0,MLP-C,2,X,0.2925,0.7075,0.795096322,0.07950000000000003,0.04150000000000002,1.1102230246251566e-17
0,0,0,MLP-C,2,W1,0.3175,0.6825,0.811292719,0.0,0.0,0.0
0,0,0,MLP-C,2,W2,0.2925,0.7075,0.805324459,0.028000000000000004,0.07525000000000001,-0.00024999999999997247
0,0,0,LogReg,3,X,0.2225,0.7775,0.84303351,0.10024999999999998,0.11574999999999998,-0.0007500000000000395
0,0,0,LogReg,3,W1,0.23,0.77,0.83745583,0.08475000000000002,0.12449999999999999,0.006000000000000017
0,0,0,LogReg,3,W2,0.28,0.72,0.807560137,0.025999999999999978,0.11099999999999999,0.002499999999999969
0,0,0,SVC,3,X,0.225,0.7725,0.838365897,0.11574999999999998,0.10399999999999995,0.0004999999999999782
0,0,0,SVC,3,W1,0.23,0.77,0.836879433,0.09900000000000003,0.11674999999999999,0.0072500000000000455
0,0,0,SVC,3,W2,0.28,0.715,0.813114754,0.022499999999999985,0.09499999999999997,0.007749999999999968
0,0,0,RF-C,3,X,0.235,0.765,0.832142857,0.11550000000000002,0.10950000000000001,0.007750000000000012
0,0,0,RF-C,3,W1,0.245,0.755,0.831034483,0.08099999999999999,0.10725,0.011249999999999982
0,0,0,RF-C,3,W2,0.2725,0.7275,0.808435852,0.03925000000000002,0.12525000000000003,0.04400000000000002
0,0,0,XGBoost-C,3,X,0.23,0.74,0.814946619,0.09125,0.10124999999999999,0.006999999999999984
0,0,0,XGBoost-C,3,W1,0.235,0.7175,0.795660036,0.06450000000000003,0.08850000000000004,0.010250000000000037
0,0,0,XGBoost-C,3,W2,0.275,0.7,0.788732394,0.04149999999999997,0.09524999999999996,0.031249999999999944
0,0,0,MLP-C,3,X,0.2225,0.7775,0.84303351,0.10799999999999996,0.11574999999999998,0.0002499999999999836
0,0,0,MLP-C,3,W1,0.23,0.77,0.836298932,0.0865,0.12350000000000001,0.008250000000000035
0,0,0,MLP-C,3,W2,0.275,0.725,0.808362369,0.03499999999999996,0.11549999999999998,0.005749999999999966
0,0,0,LogReg,4,X,0.24,0.76,0.829181495,0.1045,0.11250000000000002,0.009999999999999998
0,0,0,LogReg,4,W1,0.28,0.72,0.813333333,0.039749999999999966,0.08599999999999998,0.00024999999999997247
0,0,0,LogReg,4,W2,0.3,0.7,0.801324503,0.006999999999999973,0.08349999999999996,0.005749999999999977
0,0,0,SVC,4,X,0.24,0.7575,0.830715532,0.11324999999999993,0.09974999999999994,-0.0002500000000000391
0,0,0,SVC,4,W1,0.28,0.7175,0.806837607,0.07075000000000004,0.07825000000000001,-0.004999999999999982
0,0,0,SVC,4,W2,0.3025,0.6825,0.786554622,0.013249999999999974,0.07125,-0.00575
0,0,0,RF-C,4,X,0.24,0.76,0.830985915,0.10525000000000002,0.11225000000000003,0.01399999999999999
0,0,0,RF-C,4,W1,0.27,0.73,0.810526316,0.05699999999999996,0.10974999999999997,0.0225
0,0,0,RF-C,4,W2,0.29,0.71,0.811074919,0.037249999999999964,0.07999999999999996,0.00724999999999999
0,0,0,XGBoost-C,4,X,0.24,0.7325,0.802946593,0.08075000000000002,0.10225000000000004,0.02350000000000004
0,0,0,XGBoost-C,4,W1,0.265,0.705,0.780669145,0.049499999999999975,0.09699999999999996,0.02524999999999994
0,0,0,XGBoost-C,4,W2,0.2825,0.6675,0.757741348,0.006499999999999973,0.0895,0.017499999999999995
0,0,0,MLP-C,4,X,0.24,0.76,0.830388693,0.1065,0.10700000000000003,0.0040000000000000036
