Num_units,Intercept,Influence_level,Model,Replication,Measurement,Loss,Accuracy,F1_score,Imp_F,Imp_Z1,Imp_Z2
0,0,0,LogReg,1,W1,0.26,0.74,0.7903225806451613,0.11524999999999996,0.12149999999999998,0.005999999999999983
0,0,0,LogReg,1,W2,0.2825,0.7175,0.781431335,0.08475000000000002,0.09900000000000003,-0.000749999999999984
0,0,0,LogReg,1,X1,0.2149999999999999,0.785,0.8286852589641435,0.17950000000000002,0.10600000000000002,0.0032500000000000306
0,0,0,LogReg,1,X2,0.1999999999999999,0.8,0.841897233,0.21225000000000005,0.08325000000000003,0.0055000000000000274
0,0,0,SVC,1,W1,0.27,0.73,0.784,0.10474999999999998,0.11174999999999999,0.000749999999999984
0,0,0,SVC,1,W2,0.2724999999999999,0.7225,0.7852998065764023,0.10500000000000005,0.09975000000000003,0.00025000000000001686
0,0,0,SVC,1,X1,0.2225,0.775,0.8228346456692913,0.165,0.09450000000000004,-0.003999999999999971
0,0,0,SVC,1,X2,0.1949999999999999,0.79,0.8372093023255814,0.20925000000000002,0.06900000000000003,-0.00024999999999996135
0,0,0,RF-C,1,W1,0.2624999999999999,0.7375,0.7920792079207921,0.10500000000000005,0.11725000000000005,0.007500000000000029
0,0,0,RF-C,1,W2,0.295,0.705,0.7722007722007722,0.09049999999999997,0.09349999999999997,0.00024999999999997247
0,0,0,RF-C,1,X1,0.2175,0.7825,0.8256513026052105,0.18374999999999997,0.09649999999999999,0.012499999999999978
0,0,0,RF-C,1,X2,0.2025,0.7975,0.8408644400785854,0.21725,0.0875,0.026249999999999996
0,0,0,XGBoost-C,1,W1,0.2674999999999999,0.655,0.7160493827160493,0.060750000000000026,0.05575000000000002,-0.025250000000000005
0,0,0,XGBoost-C,1,W2,0.275,0.68,0.7450199203187251,0.08450000000000005,0.09075000000000005,0.010750000000000048
0,0,0,XGBoost-C,1,X1,0.2149999999999999,0.73,0.7813765182186235,0.1465,0.07599999999999998,0.0004999999999999782
0,0,0,XGBoost-C,1,X2,0.1975,0.76,0.8064516129032258,0.1835,0.06999999999999999,0.015500000000000003
0,0,0,MLP-C,1,W1,0.26,0.74,0.7903225806451613,0.11424999999999999,0.12175000000000002,0.005999999999999983
0,0,0,MLP-C,1,W2,0.2774999999999999,0.7225,0.7861271676300579,0.08850000000000005,0.10475000000000001,0.004000000000000015
0,0,0,MLP-C,1,X1,0.2049999999999999,0.795,0.8326530612244898,0.18625000000000003,0.11175000000000002,0.02425000000000005
